ticket_id,opened_date,closed_date,customer_id,issue_type,priority,status,owner_team
TICK0001,2025-11-18,2025-11-21,CUST013,Access request,Low,Resolved,Data Engineering
TICK0002,2026-01-19,2026-01-21,CUST012,Data freshness,High,Closed,Platform
TICK0003,2026-01-09,,CUST003,Enhancement request,Medium,In Progress,Data Engineering
TICK0004,2026-02-19,,CUST012,Enhancement request,Low,In Progress,Data Engineering
TICK0005,2025-12-23,2025-12-26,CUST001,Data freshness,Medium,Resolved,Analytics
TICK0006,2025-12-15,2025-12-21,CUST014,Data freshness,Low,Resolved,Analytics
TICK0007,2026-02-26,2026-02-28,CUST001,Pipeline failure,Critical,Resolved,Analytics
TICK0008,2026-02-12,2026-02-20,CUST004,Data freshness,Low,Closed,Analytics
TICK0009,2026-01-02,2026-01-08,CUST004,Access request,Medium,Closed,Data Engineering
TICK0010,2025-12-14,2025-12-18,CUST011,Dashboard bug,Low,Resolved,Data Engineering
TICK0011,2025-12-08,,CUST004,Pipeline failure,Medium,Open,Analytics
TICK0012,2026-02-23,2026-02-26,CUST019,Pipeline failure,High,Resolved,Analytics
TICK0013,2026-01-10,2026-01-16,CUST010,Data freshness,Medium,Resolved,Data Engineering
TICK0014,2026-01-13,2026-01-17,CUST012,Data freshness,Low,Resolved,Analytics
TICK0015,2025-12-19,2025-12-25,CUST019,Access request,Medium,Resolved,Platform
TICK0016,2026-03-10,2026-03-13,CUST003,Enhancement request,Medium,Resolved,Data Engineering
TICK0017,2026-02-04,2026-02-06,CUST012,Access request,Critical,Resolved,Data Engineering
TICK0018,2025-11-25,2025-11-29,CUST011,Enhancement request,Medium,Closed,Data Engineering
TICK0019,2025-11-21,2025-11-25,CUST011,Pipeline failure,Medium,Closed,Data Engineering
TICK0020,2025-11-22,2025-11-29,CUST020,Enhancement request,Medium,Closed,Data Engineering
TICK0021,2026-03-11,2026-03-15,CUST014,Pipeline failure,Medium,Resolved,Data Engineering
TICK0022,2025-12-06,2025-12-13,CUST008,Enhancement request,Low,Resolved,Data Engineering
TICK0023,2026-02-05,2026-02-10,CUST020,Pipeline failure,Low,Resolved,Analytics
TICK0024,2026-02-22,2026-02-25,CUST008,Pipeline failure,Medium,Closed,Data Engineering
TICK0025,2026-02-21,2026-02-26,CUST012,Enhancement request,Medium,Closed,Data Engineering
TICK0026,2025-11-14,2025-11-20,CUST009,Data freshness,Medium,Closed,Analytics
TICK0027,2025-12-12,2025-12-17,CUST003,Access request,Medium,Closed,Data Engineering
TICK0028,2025-11-14,2025-11-17,CUST014,Data freshness,Medium,Resolved,Analytics
TICK0029,2026-01-25,2026-01-28,CUST004,Dashboard bug,High,Closed,Platform
TICK0030,2026-02-23,2026-02-25,CUST016,Enhancement request,Medium,Closed,Platform
TICK0031,2026-03-16,,CUST020,Pipeline failure,Medium,Open,Platform
TICK0032,2026-02-26,2026-03-08,CUST020,Dashboard bug,Low,Resolved,Platform
TICK0033,2026-01-14,2026-01-17,CUST005,Data freshness,Medium,Closed,Platform
